animal,Common_Name,Family,Family_Common,Alternatives and notes,selector_caption,Selector_Caption
Aethia_cristatella,Crested Auklet,Alcidae,Alcidae (Auks/ Alcids),,Aethia cristatella (crested auklet),Aethia cristatella (Crested Auklet)
Aethia_psittacula,Parakeet Auklet,Alcidae,Alcidae (Auks/ Alcids),,Aethia psittacula (parakeet auklet),Aethia psittacula (Parakeet Auklet)
Aethia_pusilla,Least Auklet,Alcidae,Alcidae (Auks/ Alcids),,Aethia pusilla (least auklet),Aethia pusilla (Least Auklet)
Aethia_pygmaea,Whiskered Auklet,Alcidae,Alcidae (Auks/ Alcids),,Aethia pygmaea (whiskered auklet),Aethia pygmaea (Whiskered Auklet)
Alca_torda,Razorbill,Alcidae,Alcidae (Auks/ Alcids),,Alca torda (razorbill),Alca torda (Razorbill)
Alle_alle,Dovekie,Alcidae,Alcidae (Auks/ Alcids),,Alle alle (dovekie),Alle alle (Dovekie)
Brachyramphus_brevirostris,Kittlitz's Murrelet,Alcidae,Alcidae (Auks/ Alcids),,Brachyramphus brevirostris (Kittlitz's murrelet),Brachyramphus brevirostris (Kittlitz's Murrelet)
Brachyramphus_marmoratus,Marbled Murrelet,Alcidae,Alcidae (Auks/ Alcids),,Brachyramphus marmoratus (marbled murrelet),Brachyramphus marmoratus (Marbled Murrelet)
Brachyramphus_perdix,Long-billed Murrelet,Alcidae,Alcidae (Auks/ Alcids),,Brachyramphus perdix (long-billed murrelet),Brachyramphus perdix (Long-billed Murrelet)
Cepphus_carbo,Spectacled Guillemot,Alcidae,Alcidae (Auks/ Alcids),,Cepphus carbo (spectacled guillemot),Cepphus carbo (Spectacled Guillemot)
Cepphus_columba,Pigeon Guillemot,Alcidae,Alcidae (Auks/ Alcids),,Cepphus columba (pigeon guillemot),Cepphus columba (Pigeon Guillemot)
Cepphus_grylle,Black Guillemot,Alcidae,Alcidae (Auks/ Alcids),,Cepphus grylle (black guillemot),Cepphus grylle (Black Guillemot)
Cerorhinca_monocerata,Rhinoceros Auklet,Alcidae,Alcidae (Auks/ Alcids),,Cerorhinca monocerata (rhinoceros auklet),Cerorhinca monocerata (Rhinoceros Auklet)
Fratercula_arctica,Atlantic Puffin,Alcidae,Alcidae (Auks/ Alcids),,Fratercula arctica (atlantic puffin),Fratercula arctica (Atlantic Puffin)
Fratercula_cirrhata,Tufted Puffin,Alcidae,Alcidae (Auks/ Alcids),,Fratercula cirrhata (tufted puffin),Fratercula cirrhata (Tufted Puffin)
Fratercula_corniculata,Horned Puffin,Alcidae,Alcidae (Auks/ Alcids),,Fratercula corniculata (horned puffin),Fratercula corniculata (Horned Puffin)
Pinguinus_impennis,Great Auk,Alcidae,Alcidae (Auks/ Alcids),Great auk!!! Extinct mid 19th centuary,Pinguinus impennis (great auk),Pinguinus impennis (Great Auk)
Ptychoramphus_aleuticus,Cassin's Auklet,Alcidae,Alcidae (Auks/ Alcids),,Ptychoramphus aleuticus (Cassin's auklet),Ptychoramphus aleuticus (Cassin's Auklet)
Synthliboramphus_antiquus,Ancient Murrelet,Alcidae,Alcidae (Auks/ Alcids),,Synthliboramphus antiquus (ancient murrelet),Synthliboramphus antiquus (Ancient Murrelet)
Synthliboramphus_craveri,Craveri's Murrelet,Alcidae,Alcidae (Auks/ Alcids),,Synthliboramphus craveri (Craveri's murrelet),Synthliboramphus craveri (Craveri's Murrelet)
Synthliboramphus_hypoleucus,Guadalupe Murrelet,Alcidae,Alcidae (Auks/ Alcids),,Synthliboramphus hypoleucus (Guadalupe murrelet),Synthliboramphus hypoleucus (Guadalupe Murrelet)
Synthliboramphus_wumizusume,Crested Murrelet,Alcidae,Alcidae (Auks/ Alcids),,Synthliboramphus wumizusume (crested murrelet),Synthliboramphus wumizusume (Crested Murrelet)
Uria_aalge,Common Murre,Alcidae,Alcidae (Auks/ Alcids),,Uria aalge (common murre),Uria aalge (Common Murre)
Uria_lomvia,Brünnich's Guillemot,Alcidae,Alcidae (Auks/ Alcids),,Uria lomvia (Brunnich's guillemot),Uria lomvia (Brunnich's Guillemot)
Diomedea_amsterdamensis,Amsterdam Island Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Diomedea amsterdamensis (Amsterdam Island albatross),Diomedea amsterdamensis (Amsterdam Island Albatross)
Diomedea_antipodensis,Antipodean Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Diomedea antipodensis (Antipodean albatross),Diomedea antipodensis (Antipodean Albatross)
Diomedea_dabbenena,Tristan Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Diomedea dabbenena (Tristan albatross),Diomedea dabbenena (Tristan Albatross)
Diomedea_epomophora,Royal Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Diomedea epomophora (royal albatross),Diomedea epomophora (Royal Albatross)
Diomedea_exulans,Wandering Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Diomedea exulans (wandering albatross),Diomedea exulans (Wandering Albatross)
Diomedea_sanfordi,Northern Royal Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Diomedea sanfordi (northern royal albatross),Diomedea sanfordi (Northern Royal Albatross)
Phoebastria_albatrus,Short-tailed Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Phoebastria albatrus (short-tailed albatross),Phoebastria albatrus (Short-tailed Albatross)
Phoebastria_immutabilis,Laysan Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Phoebastria immutabilis (Laysan albatross),Phoebastria immutabilis (Laysan Albatross)
Phoebastria_irrorata,Waved Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Phoebastria irrorata (waved albatross),Phoebastria irrorata (Waved Albatross)
Phoebastria_nigripes,Black-footed Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Phoebastria nigripes (black-footed albatross),Phoebastria nigripes (Black-footed Albatross)
Phoebetria_fusca,Sooty Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Phoebetria fusca (sooty albatross),Phoebetria fusca (Sooty Albatross)
Phoebetria_palpebrata,Light-mantled Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Phoebetria palpebrata (light-mantled albatross),Phoebetria palpebrata (Light-mantled Albatross)
Thalassarche_bulleri,Buller's Mollymawk,Diomedeidae,Diomedeidae (Albatrosses),,Thalassarche bulleri (Buller's mollymawk),Thalassarche bulleri (Buller's Mollymawk)
Thalassarche_carteri,Indian Yellow-nosed Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Thalassarche carteri (Indian yellow-nosed albatross),Thalassarche carteri (Indian Yellow-nosed Albatross)
Thalassarche_cauta,Shy Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Thalassarche cauta (shy albatross),Thalassarche cauta (Shy Albatross)
Thalassarche_chlororhynchos,Atlantic Yellow-nosed Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Thalassarche chlororhynchos (Atlantic yellow-nosed albatross),Thalassarche chlororhynchos (Atlantic Yellow-nosed Albatross)
Thalassarche_chrysostoma,Grey-headed Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Thalassarche chrysostoma (grey-headed albatross),Thalassarche chrysostoma (Grey-headed Albatross)
Thalassarche_eremita,Chatham Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Thalassarche eremita (Chatham albatross),Thalassarche eremita (Chatham Albatross)
Thalassarche_impavida,Campbell Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Thalassarche impavida (Campbell albatross),Thalassarche impavida (Campbell Albatross)
Thalassarche_melanophrys,Black-browed Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Thalassarche melanophrys (black-browed albatross),Thalassarche melanophrys (Black-browed Albatross)
Thalassarche_salvini,Salvin's Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Thalassarche salvini (Salvin's albatross),Thalassarche salvini (Salvin's Albatross)
Thalassarche_steadi,White-capped Albatross,Diomedeidae,Diomedeidae (Albatrosses),,Thalassarche steadi (white-capped albatross),Thalassarche steadi (White-capped Albatross)
Fregata_andrewsi,Andrews' Frigatebird,Fregatidae,Fregatidae (Frigatebirds),,Fregata andrewsi (Andrews' frigatebird),Fregata andrewsi (Andrews' Frigatebird)
Fregata_aquila,Ascension Frigatebird,Fregatidae,Fregatidae (Frigatebirds),,Fregata aquila (Ascension frigatebird),Fregata aquila (Ascension Frigatebird)
Fregata_ariel,Lesser Frigatebird,Fregatidae,Fregatidae (Frigatebirds),,Fregata ariel (lesser frigatebird),Fregata ariel (Lesser Frigatebird)
Fregata_magnificens,Magnificent Frigatebird,Fregatidae,Fregatidae (Frigatebirds),,Fregata magnificens (magnificent frigatebird),Fregata magnificens (Magnificent Frigatebird)
Fregata_minor,Great Frigatebird,Fregatidae,Fregatidae (Frigatebirds),,Fregata minor (great frigatebird),Fregata minor (Great Frigatebird)
Halocyptena_microsoma,Least Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),,Halocyptena microsoma (least storm petrel),Halocyptena microsoma (Least Storm Petrel)
Hydrobates_pelagicus,European Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),,Hydrobates pelagicus (European storm petrel),Hydrobates pelagicus (European Storm Petrel)
Oceanodroma_castro,Band-rumped Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates castro,Oceanodroma castro (band-rumped storm petrel),Oceanodroma castro (Band-rumped Storm Petrel)
Oceanodroma_furcata,Fork-tailed Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates furcatus,Oceanodroma furcata (fork-tailed storm petrel),Oceanodroma furcata (Fork-tailed Storm Petrel)
Oceanodroma_homochroa,Ashy Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates homochroa,Oceanodroma homochroa (ashy storm petrel),Oceanodroma homochroa (Ashy Storm Petrel)
Oceanodroma_hornbyi,Hornby's Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates hornbyi,Oceanodroma hornbyi (Hornby's storm petrel),Oceanodroma hornbyi (Hornby's Storm Petrel)
Oceanodroma_leucorhoa,Leach's Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates leucorhous,Oceanodroma leucorhoa (Leach's storm petrel),Oceanodroma leucorhoa (Leach's Storm Petrel)
Oceanodroma_macrodactyla,Guadalupe Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates macrodactylus (Extinct),Oceanodroma macrodactyla (Guadalupe storm petrel),Oceanodroma macrodactyla (Guadalupe Storm Petrel)
Oceanodroma_markhami,Markham's Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates markhami,Oceanodroma markhami (Markham's storm petrel),Oceanodroma markhami (Markham's Storm Petrel)
Oceanodroma_matsudairae,Matsudaira's Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates matsudairae,Oceanodroma matsudairae (Matsudaira's storm petrel),Oceanodroma matsudairae (Matsudaira's Storm Petrel)
Oceanodroma_melania,Black Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates melania,Oceanodroma melania (black storm petrel),Oceanodroma melania (Black Storm Petrel)
Oceanodroma_monorhis,Swinhoe's Storm Petrel,Hydrobatidae,Hydrobatidae (Northern Storm Petrels),Hydrobates monorhis,Oceanodroma monorhis (Swinhoe's storm petrel),Oceanodroma monorhis (Swinhoe's Storm Petrel)
